split,image_path,class_name
train,data/AZH/train/BG/30.jpg,bg
train,data/AZH/train/BG/6.jpg,bg
train,data/AZH/train/BG/73.jpg,bg
train,data/AZH/train/BG/39.jpg,bg
train,data/AZH/train/BG/70.jpg,bg
train,data/AZH/train/BG/46.jpg,bg
train,data/AZH/train/BG/36.jpg,bg
train,data/AZH/train/BG/1.jpg,bg
train,data/AZH/train/BG/11.jpg,bg
train,data/AZH/train/BG/65.jpg,bg
train,data/AZH/train/BG/28.jpg,bg
train,data/AZH/train/BG/67.jpg,bg
train,data/AZH/train/BG/42.jpg,bg
train,data/AZH/train/BG/50.jpg,bg
train,data/AZH/train/BG/45.jpg,bg
train,data/AZH/train/BG/63.jpg,bg
train,data/AZH/train/BG/27.jpg,bg
train,data/AZH/train/BG/5.jpg,bg
train,data/AZH/train/BG/22.jpg,bg
train,data/AZH/train/BG/54.jpg,bg
train,data/AZH/train/BG/3.jpg,bg
train,data/AZH/train/BG/55.jpg,bg
train,data/AZH/train/BG/74.jpg,bg
train,data/AZH/train/BG/9.jpg,bg
train,data/AZH/train/BG/69.jpg,bg
train,data/AZH/train/BG/34.jpg,bg
train,data/AZH/train/BG/43.jpg,bg
train,data/AZH/train/BG/56.jpg,bg
train,data/AZH/train/BG/18.jpg,bg
train,data/AZH/train/BG/8.jpg,bg
train,data/AZH/train/BG/12.jpg,bg
train,data/AZH/train/BG/51.jpg,bg
train,data/AZH/train/BG/60.jpg,bg
train,data/AZH/train/BG/41.jpg,bg
train,data/AZH/train/BG/66.jpg,bg
train,data/AZH/train/BG/72.jpg,bg
train,data/AZH/train/BG/68.jpg,bg
train,data/AZH/train/BG/21.jpg,bg
train,data/AZH/train/BG/61.jpg,bg
train,data/AZH/train/BG/37.jpg,bg
train,data/AZH/train/BG/25.jpg,bg
train,data/AZH/train/BG/26.jpg,bg
train,data/AZH/train/BG/38.jpg,bg
train,data/AZH/train/BG/53.jpg,bg
train,data/AZH/train/BG/40.jpg,bg
train,data/AZH/train/BG/14.jpg,bg
train,data/AZH/train/BG/62.jpg,bg
train,data/AZH/train/BG/17.jpg,bg
train,data/AZH/train/BG/16.jpg,bg
train,data/AZH/train/BG/4.jpg,bg
train,data/AZH/train/BG/23.jpg,bg
train,data/AZH/train/BG/44.jpg,bg
train,data/AZH/train/BG/57.jpg,bg
train,data/AZH/train/BG/32.jpg,bg
train,data/AZH/train/BG/49.jpg,bg
train,data/AZH/train/BG/7.jpg,bg
train,data/AZH/train/BG/64.jpg,bg
train,data/AZH/train/BG/29.jpg,bg
train,data/AZH/train/BG/47.jpg,bg
train,data/AZH/train/BG/2.jpg,bg
train,data/AZH/train/diabetic/55_0.jpg,diabetic
train,data/AZH/train/diabetic/149_0.jpg,diabetic
train,data/AZH/train/diabetic/115_0.jpg,diabetic
train,data/AZH/train/diabetic/132_0.jpg,diabetic
train,data/AZH/train/diabetic/86_0.jpg,diabetic
train,data/AZH/train/diabetic/53_0.jpg,diabetic
train,data/AZH/train/diabetic/73_0.jpg,diabetic
train,data/AZH/train/diabetic/50_0.jpg,diabetic
train,data/AZH/train/diabetic/147_1.jpg,diabetic
train,data/AZH/train/diabetic/9_1.jpg,diabetic
train,data/AZH/train/diabetic/7_1.jpg,diabetic
train,data/AZH/train/diabetic/21_0.jpg,diabetic
train,data/AZH/train/diabetic/44_0.jpg,diabetic
train,data/AZH/train/diabetic/99_0.jpg,diabetic
train,data/AZH/train/diabetic/123_0.jpg,diabetic
train,data/AZH/train/diabetic/67_0.jpg,diabetic
train,data/AZH/train/diabetic/146_0.jpg,diabetic
train,data/AZH/train/diabetic/15_0.jpg,diabetic
train,data/AZH/train/diabetic/137_0.jpg,diabetic
train,data/AZH/train/diabetic/16_0.jpg,diabetic
train,data/AZH/train/diabetic/87_0.jpg,diabetic
train,data/AZH/train/diabetic/78_0.jpg,diabetic
train,data/AZH/train/diabetic/58_0.jpg,diabetic
train,data/AZH/train/diabetic/9_2.jpg,diabetic
train,data/AZH/train/diabetic/93_0.jpg,diabetic
train,data/AZH/train/diabetic/46_0.jpg,diabetic
train,data/AZH/train/diabetic/125_0.jpg,diabetic
train,data/AZH/train/diabetic/147_0.jpg,diabetic
train,data/AZH/train/diabetic/95_0.jpg,diabetic
train,data/AZH/train/diabetic/72_0.jpg,diabetic
train,data/AZH/train/diabetic/116_0.jpg,diabetic
train,data/AZH/train/diabetic/32_1.jpg,diabetic
train,data/AZH/train/diabetic/34_0.jpg,diabetic
train,data/AZH/train/diabetic/83_0.jpg,diabetic
train,data/AZH/train/diabetic/28_0.jpg,diabetic
train,data/AZH/train/diabetic/60_0.jpg,diabetic
train,data/AZH/train/diabetic/9_0.jpg,diabetic
train,data/AZH/train/diabetic/88_0.jpg,diabetic
train,data/AZH/train/diabetic/139_0.jpg,diabetic
train,data/AZH/train/diabetic/63_0.jpg,diabetic
train,data/AZH/train/diabetic/131_0.jpg,diabetic
train,data/AZH/train/diabetic/54_1.jpg,diabetic
train,data/AZH/train/diabetic/110_0.jpg,diabetic
train,data/AZH/train/diabetic/85_0.jpg,diabetic
train,data/AZH/train/diabetic/108_0.jpg,diabetic
train,data/AZH/train/diabetic/78_1.jpg,diabetic
train,data/AZH/train/diabetic/141_0.jpg,diabetic
train,data/AZH/train/diabetic/64_1.jpg,diabetic
train,data/AZH/train/diabetic/26_0.jpg,diabetic
train,data/AZH/train/diabetic/10_0.jpg,diabetic
train,data/AZH/train/diabetic/76_0.jpg,diabetic
train,data/AZH/train/diabetic/43_0.jpg,diabetic
train,data/AZH/train/diabetic/75_0.jpg,diabetic
train,data/AZH/train/diabetic/90_0.jpg,diabetic
train,data/AZH/train/diabetic/49_0.jpg,diabetic
train,data/AZH/train/diabetic/5_0.jpg,diabetic
train,data/AZH/train/diabetic/84_0.jpg,diabetic
train,data/AZH/train/diabetic/132_1.jpg,diabetic
train,data/AZH/train/diabetic/77_0.jpg,diabetic
train,data/AZH/train/diabetic/127_0.jpg,diabetic
train,data/AZH/train/diabetic/68_0.jpg,diabetic
train,data/AZH/train/diabetic/154_0.jpg,diabetic
train,data/AZH/train/diabetic/134_1.jpg,diabetic
train,data/AZH/train/diabetic/7_0.jpg,diabetic
train,data/AZH/train/diabetic/59_0.jpg,diabetic
train,data/AZH/train/diabetic/89_0.jpg,diabetic
train,data/AZH/train/diabetic/152_0.jpg,diabetic
train,data/AZH/train/diabetic/122_1.jpg,diabetic
train,data/AZH/train/diabetic/4_0.jpg,diabetic
train,data/AZH/train/diabetic/66_0.jpg,diabetic
train,data/AZH/train/diabetic/74_0.jpg,diabetic
train,data/AZH/train/diabetic/153_0.jpg,diabetic
train,data/AZH/train/diabetic/103_0.jpg,diabetic
train,data/AZH/train/diabetic/120_0.jpg,diabetic
train,data/AZH/train/diabetic/25_0.jpg,diabetic
train,data/AZH/train/diabetic/130_0.jpg,diabetic
train,data/AZH/train/diabetic/113_0.jpg,diabetic
train,data/AZH/train/diabetic/22_0.jpg,diabetic
train,data/AZH/train/diabetic/38_0.jpg,diabetic
train,data/AZH/train/diabetic/96_0.jpg,diabetic
train,data/AZH/train/diabetic/81_0.jpg,diabetic
train,data/AZH/train/diabetic/30_0.jpg,diabetic
train,data/AZH/train/diabetic/101_0.jpg,diabetic
train,data/AZH/train/diabetic/37_0.jpg,diabetic
train,data/AZH/train/diabetic/64_2.jpg,diabetic
train,data/AZH/train/diabetic/140_0.jpg,diabetic
train,data/AZH/train/diabetic/51_0.jpg,diabetic
train,data/AZH/train/diabetic/11_0.jpg,diabetic
train,data/AZH/train/diabetic/139_1.jpg,diabetic
train,data/AZH/train/diabetic/54_0.jpg,diabetic
train,data/AZH/train/diabetic/91_0.jpg,diabetic
train,data/AZH/train/diabetic/118_0.jpg,diabetic
train,data/AZH/train/diabetic/55_1.jpg,diabetic
train,data/AZH/train/diabetic/31_0.jpg,diabetic
train,data/AZH/train/diabetic/79_0.jpg,diabetic
train,data/AZH/train/diabetic/18_0.jpg,diabetic
train,data/AZH/train/diabetic/81_1.jpg,diabetic
train,data/AZH/train/diabetic/92_0.jpg,diabetic
train,data/AZH/train/diabetic/122_0.jpg,diabetic
train,data/AZH/train/diabetic/24_0.jpg,diabetic
train,data/AZH/train/diabetic/144_0.jpg,diabetic
train,data/AZH/train/diabetic/133_0.jpg,diabetic
train,data/AZH/train/diabetic/64_0.jpg,diabetic
train,data/AZH/train/diabetic/57_0.jpg,diabetic
train,data/AZH/train/diabetic/41_0.jpg,diabetic
train,data/AZH/train/diabetic/146_1.jpg,diabetic
train,data/AZH/train/diabetic/150_0.jpg,diabetic
train,data/AZH/train/diabetic/80_0.jpg,diabetic
train,data/AZH/train/diabetic/128_0.jpg,diabetic
train,data/AZH/train/diabetic/42_0.jpg,diabetic
